crate,dir,description,loc,rust_files,python_files,md_files,internal_deps,dep_count,module_count,modules,todo_count,test_markers,duplicate_export_files,doc_summary
cil-pipeline,cil-pipeline,NEAL-CORE IW-CO 7-Phase Pipeline: Complete cognitive processing pipeline,1618,2,0,0,cil-core | cil-subsystems | cil-taint,11,1,tests,0,0,2,"CIL-PIPELINE: IW-CO 7-Phase Cognitive Pipeline |  | Implements the complete Intentional Workspace - Cognitive Orchestrator pipeline: | - Phase 0: Cognitive Profiling (determine user archetype) | - Phase 1: Perceive & Ground (Active Inference for intent/ambiguity) | - Phase 2: Load & Classify (retrieve domain ontologies, classify risk)"
cil-quantization,cil-quantization,"NEAL-CORE Quantization: CRHQ v2.0, Holonic Framework, evidenced weights, runtime adaptation",37168,50,0,4,cil-core,11,24,activations | allostatic | apoptosis | chaos | compliance | controller | drift_detection | feasibility | harmony | holon_api | immune | io_aware | langsec | magi_triad | n0_state | orchestrator | prelude | profiles | reconciliation | semantic_vq | stance_variance | stigmergy | tensor_core | tests,0,0,28,"Dialectical Consensus Architecture (DCA) |  | **Literal Mechanism:** Multi-perspective voting with epistemic constraint enforcement. | Three specialized reasoning perspectives (Empirical, Safety, Intuitive) must reach | consensus with evidence thresholds before proceeding. | "
cil-reasoning,cil-reasoning,"NEAL-CORE Reasoning: NEAL-CORE hypothesis management, CHE scoring, N≥3 enforcement",2386,2,0,0,cil-core,8,1,tests,0,0,2,CIL-REASONING: NEAL-CORE Hypothesis Management |  | Implements: | - Hypothesis pool with mandatory N≥3 enforcement | - CHE (Competing Hypothesis Energy) scoring: α·Conf + β·Harm + γ·Evidence | - Quantum-inspired hypothesis collapse
cil-retrieval,cil-retrieval,NEAL-CORE Retrieval: DiskANN/Vamana vector search,936,2,0,0,cil-core,9,1,tests,0,0,2,CIL-RETRIEVAL: Billion-Scale Vector Search |  | Implements: | - Vamana graph construction algorithm | - DiskANN-style SSD-based search | - Beam search with pruning
cil-routing,cil-routing,NEAL-CORE Routing: LinUCB contextual bandit for model selection,838,2,0,0,cil-core,8,1,tests,0,0,2,CIL-ROUTING: LinUCB Contextual Bandit Model Selection |  | Implements: | - LinUCB algorithm for model routing | - Context-aware arm selection | - Exploration-exploitation balance
cil-subsystems,cil-subsystems,"NEAL-CORE Subsystems: FESL, IVS, PSK, AGC, CRA, HSM, MSV, SME",7194,20,0,0,cil-core,8,10,agc | cra | ebc | fesl | hsm | ivs | msv | psk | sme | tests,0,0,11,IVS: Input Validation Subsystem |  | Engineering Analogy: Noise Sensor |  | Purpose: Input variability and entropy sensing | - Measures information entropy
cil-taint,cil-taint,NEAL-CORE TAINT_SET: Complete TAINT lifecycle management,942,2,0,0,cil-core,9,1,tests,0,0,2,"CIL-TAINT: Complete TAINT_SET Lifecycle Management |  | Implements the full TAINT mechanics from CORE-NEAL spec: | - TAINT_ADD: Records concept, provenance, timestamp, U_conf_at_taint, trigger_event_id | - TAINT_CHECK: R0 pre-check blocks resources for known falsehoods | - TAINT_TTL: Temporal decay (e.g., 90 cycles), eligible for R3_TAINT_CONFIRMED"
cil-tools,cil-tools,CIL command-line tools,123,3,0,0,cil,9,0,,0,0,0,cil-verify - Verify CIL container integrity | Path to the container | Verbose output
cilfsd,cilfsd,CIL Semantic Filesystem Daemon,1605,12,0,0,cil,26,10,api | concepts | config | diskann | embeddings | index | indexer | leiden | store | tests,7,0,4,cilfsd — CIL Semantic Index Daemon |  | Subscribes to kernel events and maintains semantic indexes. |  | Responsibilities: | - Extract concepts from file content
neal-cil,neal-cil,NEAL-CORE Cognitive Interface Layer (Part 02),32,1,0,0,,9,0,,1,0,0,# NEAL-CIL: Cognitive Interface Layer (Part 02) |  | The immutable append-only log that stores all system state. | CIL storage placeholder | Create new CIL storage
